Team,Age,W,L,WL_percent,PW,PL,OPtg,DRtg,NRtg,Pace,FTr,3PAr,TS_percent,eFG_percent_offense,TOV_percent_offense,ORB_percent,FT/FGA_offense,eFG_percent_defense,TOV_percent_defense,DRB_percent,FT/FGA_defense,Year
Indiana Pacers,26.2,2,4,0.333,2,4,100.9,107.1,-6.2,88.8,0.418,0.227,0.496,0.422,13.3,29.4,0.33,0.492,12.3,79.2,0.251,2003
Minnesota Timberwolves,28,2,4,0.333,2,4,104.2,110.8,-6.6,94.8,0.319,0.173,0.544,0.492,14.6,22.6,0.257,0.498,10.7,70.9,0.211,2003
Orlando Magic,26.5,3,4,0.429,2,5,99.5,107.8,-8.3,88,0.357,0.223,0.517,0.459,15.3,24.7,0.279,0.462,13,69.2,0.328,2003
Utah Jazz,31.2,1,4,0.2,1,4,104.2,116.1,-11.9,89.2,0.386,0.087,0.511,0.446,15.3,35.4,0.303,0.516,12.9,65.3,0.272,2003
Detroit Pistons,27.3,16,7,0.696,17,6,99.3,92,7.3,86.1,0.359,0.182,0.493,0.439,14.4,30.2,0.263,0.423,15.4,74.6,0.227,2004
Indiana Pacers,26.7,10,6,0.625,11,5,98.9,93.7,5.2,86.5,0.33,0.237,0.497,0.448,13.6,25.5,0.242,0.422,15.6,74.4,0.27,2004
San Antonio Spurs,26.8,6,4,0.6,6,4,102.4,98.8,3.6,87.2,0.314,0.248,0.515,0.485,15.2,30.1,0.202,0.482,15.3,77.1,0.256,2004
New Jersey Nets,27.7,7,4,0.636,7,4,96.4,93.7,2.7,88.9,0.416,0.225,0.512,0.454,17.7,26.5,0.303,0.419,15,72,0.245,2004
Dallas Mavericks,26.7,1,4,0.2,3,2,103.4,102,1.4,96.3,0.245,0.18,0.466,0.422,11.3,36.7,0.189,0.481,14.7,71.6,0.204,2004
Los Angeles Lakers,30.2,13,9,0.591,12,10,100.8,99.8,1,86.6,0.375,0.207,0.508,0.477,12.7,24.4,0.229,0.456,14.3,72.2,0.237,2004
Miami Heat,25.9,6,7,0.462,7,6,97.3,97.1,0.2,86.4,0.343,0.179,0.489,0.433,14.1,27.2,0.258,0.445,15.8,72.8,0.257,2004
Sacramento Kings,29,7,5,0.583,6,6,101,100.9,0.1,93.4,0.299,0.202,0.507,0.46,13.2,24.8,0.227,0.447,13.4,69.3,0.208,2004
Minnesota Timberwolves,30,10,8,0.556,9,9,101.9,101.9,0,89.8,0.302,0.198,0.527,0.479,14.7,24.2,0.236,0.463,12.1,73.3,0.211,2004
New Orleans Hornets,30.1,3,4,0.429,3,4,92.5,95.9,-3.4,87.1,0.272,0.243,0.472,0.422,16.7,28.5,0.212,0.431,14.9,71.4,0.249,2004
Denver Nuggets,26.5,1,4,0.2,2,3,99.2,103.6,-4.4,91.4,0.193,0.149,0.479,0.452,13.1,31.7,0.135,0.503,15.9,75.8,0.253,2004
Houston Rockets,28,1,4,0.2,1,4,94.5,100.5,-6,87.7,0.306,0.204,0.501,0.458,16.6,24,0.22,0.458,10.2,77.7,0.226,2004
New York Knicks,28.5,0,4,0,0,4,90.4,104.1,-13.7,92.9,0.316,0.181,0.461,0.411,15.1,26.3,0.228,0.505,18.1,73.9,0.333,2004
Milwaukee Bucks,27.5,1,4,0.2,1,4,95.3,109.3,-14,89.9,0.278,0.185,0.49,0.447,15.8,25.8,0.206,0.494,13.3,68.3,0.24,2004
Memphis Grizzlies,26,0,4,0,0,4,97.1,113.4,-16.3,86,0.324,0.176,0.504,0.45,14.7,23.8,0.252,0.561,16.4,68.5,0.233,2004
Boston Celtics,26.2,0,4,0,0,4,92.1,110.4,-18.3,91.7,0.383,0.223,0.513,0.445,19.3,23.1,0.309,0.501,11.9,72.2,0.195,2004
Detroit Pistons,28.1,15,10,0.6,17,8,105,99.5,5.5,85.3,0.286,0.176,0.508,0.466,12.1,29.8,0.212,0.47,14.5,74.8,0.219,2005
San Antonio Spurs,28.6,16,7,0.696,15,8,110,105.1,4.9,87.3,0.367,0.24,0.546,0.5,14.1,31.1,0.267,0.471,12.1,71.4,0.218,2005
Miami Heat,28.2,11,4,0.733,10,5,107.2,102.5,4.7,90.2,0.409,0.211,0.568,0.533,15.1,22.5,0.273,0.449,11.2,73.1,0.241,2005
